pair_id,ancestry,n_snp,F_mean,F_min,F_frac_below_10,Qx,i2_gx
alc-mort,EAS,29,82.6861329139053,29.7997879079498,0,2302.98564049531,0.987841869481228
alc-mort,EUR,34,77.3087697774567,29.7997879079498,0,2569.9087849263,0.987159077320736
bmi-mort,AFR,476,76.2514264243893,28.6225,0,36247.1926640748,0.986895536865375
bmi-mort,EAS,470,76.4387046499274,28.6225,0,35881.6263173103,0.986929243511637
bmi-mort,EUR,466,76.76648912953,28.6225,0,35725.9729258406,0.986984259296024
scr-mort,EUR,108,40.7726199956997,30.0051310306678,0,4403.42110753762,0.975700711472532
sug-cvdm,EAS,33,61.5740512448513,30.1015371244561,0,1879.74432839862,0.982976408271831
sug-cvdm,EUR,38,74.5246004052553,30.1015371244561,0,2449.90559189254,0.984897377220394
upf-mort,EUR,23,38.5385409448749,29.8562380566443,0,831.114154088753,0.973529508682088
