pair_id,ancestry,exposure,outcome,method,nsnp,b,se,pval,or,or_lo,or_hi,nIV_used,meanF,id.exposure,id.outcome
alc-mort,EAS,alcohol_drinks_per_week,all_cause_mortality_EAS,Inverse variance weighted,29,0.740091817946662,0.634464942462567,0.24341969659217,2.09612796782484,0.604436010803824,7.26917718164138,29,82.6861329139053,ieu-b-73,ukb-e-4501_EAS
alc-mort,EAS,alcohol_drinks_per_week,all_cause_mortality_EAS,MR Egger,29,0.43916060027309,0.754498279993604,0.565357634502755,1.55140442335559,0.353576281202973,6.80717517764044,29,82.6861329139053,ieu-b-73,ukb-e-4501_EAS
alc-mort,EAS,alcohol_drinks_per_week,all_cause_mortality_EAS,Weighted median,29,0.546539064968791,0.628724221103477,0.38469254341811,1.72726471032894,0.503707060833738,5.92297311578185,29,82.6861329139053,ieu-b-73,ukb-e-4501_EAS
alc-mort,EAS,alcohol_drinks_per_week,all_cause_mortality_EAS,Simple mode,29,-1.07035240113904,3.21333822832385,0.741542673672129,0.34288766212249,0.000630816637078386,186.380545352067,29,82.6861329139053,ieu-b-73,ukb-e-4501_EAS
alc-mort,EAS,alcohol_drinks_per_week,all_cause_mortality_EAS,Weighted mode,29,0.583945204555605,14.8374628039735,0.968885730786018,1.79309863552211,4.204369399324e-13,7647288835344.02,29,82.6861329139053,ieu-b-73,ukb-e-4501_EAS
alc-mort,EUR,alcohol_drinks_per_week,all_cause_mortality_EUR,Inverse variance weighted,34,0.1216358592761,0.0376077589648114,0.00121928980792223,1.12934278719661,1.04909160508269,1.21573285384595,34,77.3087697774567,ieu-b-73,ebi-a-GCST006701
alc-mort,EUR,alcohol_drinks_per_week,all_cause_mortality_EUR,MR Egger,34,0.147370220363591,0.0631612873928049,0.026081198686224,1.15878288864882,1.02385416253336,1.31149321081316,34,77.3087697774567,ieu-b-73,ebi-a-GCST006701
alc-mort,EUR,alcohol_drinks_per_week,all_cause_mortality_EUR,Weighted median,34,0.131546599912521,0.0357642508324843,0.00023492353260891,1.14059105792749,1.06337591021423,1.22341304606199,34,77.3087697774567,ieu-b-73,ebi-a-GCST006701
alc-mort,EUR,alcohol_drinks_per_week,all_cause_mortality_EUR,Simple mode,34,0.0608771442983736,0.0793817454450599,0.448598337790224,1.06276833901645,0.909635711389496,1.24168007947981,34,77.3087697774567,ieu-b-73,ebi-a-GCST006701
alc-mort,EUR,alcohol_drinks_per_week,all_cause_mortality_EUR,Weighted mode,34,0.128607206465801,0.257111628100461,0.620253803392908,1.13724333459481,0.687061422021737,1.88239706178614,34,77.3087697774567,ieu-b-73,ebi-a-GCST006701
bmi-mort,AFR,bmi,all_cause_mortality_AFR,Inverse variance weighted,476,0.0922196291132454,0.0966278674768183,0.339891719237291,1.09660564215907,0.907400835362765,1.32526209757603,476,76.2514264243893,ieu-b-40,ukb-e-1807_AFR
bmi-mort,AFR,bmi,all_cause_mortality_AFR,MR Egger,476,-0.00314212194439329,0.240414781736332,0.989577774083756,0.996862809354497,0.622286243127361,1.59691054020417,476,76.2514264243893,ieu-b-40,ukb-e-1807_AFR
bmi-mort,AFR,bmi,all_cause_mortality_AFR,Weighted median,476,0.220813862699035,0.182351686005769,0.225924891517353,1.247091278754,0.872323060140349,1.78286775692259,476,76.2514264243893,ieu-b-40,ukb-e-1807_AFR
bmi-mort,AFR,bmi,all_cause_mortality_AFR,Simple mode,476,0.365488508465989,0.479983106242885,0.446759526859822,1.44121788334807,0.562548244956429,3.69232151358534,476,76.2514264243893,ieu-b-40,ukb-e-1807_AFR
bmi-mort,AFR,bmi,all_cause_mortality_AFR,Weighted mode,476,0.152859992441976,0.881900617432806,0.86246573998846,1.16516183605902,0.206869893379406,6.5625890845244,476,76.2514264243893,ieu-b-40,ukb-e-1807_AFR
bmi-mort,EAS,bmi,all_cause_mortality_EAS,Inverse variance weighted,470,0.0975607685972193,0.361481106649513,0.787243534006783,1.10247843559573,0.542839164750725,2.23907702295534,470,76.4387046499274,ieu-b-40,ukb-e-4501_EAS
bmi-mort,EAS,bmi,all_cause_mortality_EAS,MR Egger,470,-0.213960218729749,0.94581904225365,0.821131518574575,0.807380503005815,0.126468053836862,5.15437105938864,470,76.4387046499274,ieu-b-40,ukb-e-4501_EAS
