clade,omega_start,lnL_alt,lnL_null,LRT,omega_2a,p2a_p2b,row_flag,status,wall_seconds,verdict
Gr_sweet__amellifera_clade,0.1,-52163.159208,-52168.121073,9.923730000009527,36.18182,0.12021,escaped,ok,3604,APIS_OPTIMIZER_ARTIFACT
Gr_sweet__amellifera_clade,0.5,-52163.159208,-52168.121073,9.923730000009527,36.18145,0.12021,escaped,reused,0,APIS_OPTIMIZER_ARTIFACT
Gr_sweet__amellifera_clade,1.0,-52163.159208,-52168.121073,9.923730000009527,36.18706,0.12021,escaped,ok,3354,APIS_OPTIMIZER_ARTIFACT
Gr_sweet__amellifera_clade,2.0,-52163.159208,-52168.121073,9.923730000009527,36.17706,0.12021,escaped,ok,3686,APIS_OPTIMIZER_ARTIFACT
Gr_sweet__amellifera_clade,5.0,-52169.361385,-52168.121073,-2.480623999988893,1.63397,0.0,fail,ok,3345,APIS_OPTIMIZER_ARTIFACT
