pubmed_id,year,journal,phylum_candidate,phylum_bucket,title,authors_first3,doi,query_label,title_boost,triage_score,triage,pub_types,year_weight
21507153,2012,Addict Biol,Chordata (rodent),Chordata (rodent),"YQA14: a novel dopamine D3 receptor antagonist that inhibits cocaine self-administration in rats and mice, but not in D3 receptor-knockout mice.",Song R; Yang RF; Wu N,10.1111/j.1369-1600.2011.00317.x,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,"Journal Article;Research Support, N.I.H., Intramural;Research Support, Non-U.S. Gov't",0.85
22037410,2012,Pharmacol Biochem Behav,Chordata (rodent),Chordata (rodent),The novel adenosine A2A antagonist Lu AA47070 reverses the motor and motivational effects produced by dopamine D2 receptor blockade.,Collins LE; Sager TN; Sams AG,10.1016/j.pbb.2011.10.015,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",0.85
20348917,2010,Nat Neurosci,Chordata (rodent),Chordata (rodent),Dopamine D2 receptors in addiction-like reward dysfunction and compulsive eating in obese rats.,Johnson PM; Kenny PJ,10.1038/nn.2519,Q-vertebrate-rodent,0,9999.0,canonical_anchor,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",0.85
18573246,2008,Eur J Pharmacol,Chordata (rodent),Chordata (rodent),"Pharmacological characterization and appetite suppressive properties of BMS-193885, a novel and selective neuropeptide Y(1) receptor antagonist.",Antal-Zimanyi I; Bruce MA; Leboulluec KL,10.1016/j.ejphar.2008.06.032,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,Journal Article,0.85
17329551,2007,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),"Pharmacological characterization of the nociceptin/orphanin FQ receptor antagonist SB-612111 [(-)-cis-1-methyl-7-[[4-(2,6-dichlorophenyl)piperidin-1-yl]methyl]-6,7,8,9-tetrahydro-5H-benzocyclohepten-5-ol]: in vivo studies.",Rizzi A; Gavioli EC; Marzola G,10.1124/jpet.106.116780,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",0.85
16436501,2006,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),"Pharmacological characterization and feeding-suppressive property of FMS586 [3-(5,6,7,8-tetrahydro-9-isopropyl-carbazol-3-yl)-1-methyl-1-(2-pyridin-4-yl-ethyl)-urea hydrochloride], a novel, selective, and orally active antagonist for neuropeptide Y Y5 receptor.",Kakui N; Tanaka J; Tabata Y,10.1124/jpet.105.099705,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,Journal Article,0.85
15949635,2005,Peptides,Chordata (rodent),Chordata (rodent),NPY-induced feeding: pharmacological characterization using selective opioid antagonists and antisense probes in rats.,Israel Y; Kandov Y; Khaimova E,10.1016/j.peptides.2005.01.017,Q-vertebrate-rodent,3,2.8049999999999997,boosted_by_title,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",0.85
15140917,2004,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),"Ethologically based resolution of D2-like dopamine receptor agonist-versus antagonist-induced behavioral topography in dopamine- and adenosine 3',5'-monophosphate-regulated phosphoprotein of 32 kDa ""knockout"" mutants congenic on the C57BL/6 genetic background.",Nally RE; Kinsella A; Tighe O,10.1124/jpet.104.068957,Q-vertebrate-rodent,4,4.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
12865890,2003,Neuropsychopharmacology,Chordata (rodent),Chordata (rodent),Topographical Assessment of Ethological and Dopamine Receptor Agonist-Induced Behavioral Phenotype in Mutants with Congenic DARPP-32 'Knockout'.,Nally RE; McNamara FN; Clifford JJ,10.1038/sj.npp.1300259,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Comparative Study;Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
11923462,2002,J Neurosci,Chordata (rodent),Chordata (rodent),Role of dopamine D2-like receptors in cocaine self-administration: studies with D2 receptor mutant mice and novel D2 receptor antagonists.,Caine SB; Negus SS; Mello NK,10.1523/JNEUROSCI.22-07-02977.2002,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.",1.0
11961051,2002,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),Dynorphin A(1-17)-induced feeding: pharmacological characterization using selective opioid antagonists and antisense probes in rats.,Silva RM; Grossman HC; Hadjimarkou MM,10.1124/jpet.301.2.513,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",1.0
11150348,2001,J Neurosci,Chordata (rodent),Chordata (rodent),Prepulse inhibition deficits and perseverative motor patterns in dopamine transporter knock-out mice: differential effects of D1 and D2 receptor antagonists.,Ralph RJ; Paulus MP; Fumagalli F,10.1523/JNEUROSCI.21-01-00305.2001,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",1.0
11303047,2001,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),Beta-endorphin-induced feeding: pharmacological characterization using selective opioid antagonists and antisense probes in rats.,Silva RM; Hadjimarkou MM; Rossi GC,,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.",1.0
11522598,2001,Br J Pharmacol,Chordata (rodent),Chordata (rodent),Adenosine A2A receptor antagonists are potential antidepressants: evidence based on pharmacology and A2A receptor knockout mice.,El Yacoubi M; Ledent C; Parmentier M,10.1038/sj.bjp.0704240,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",1.0
10928317,2000,Psychopharmacology (Berl),Chordata (rodent),Chordata (rodent),Pharmacological characterization of the nociceptin receptor mediating hyperphagia: identification of a selective antagonist.,Polidori C; Calo G; Ciccocioppo R,10.1007/s002130050073,Q-vertebrate-rodent,3,3.3,boosted_by_title,"Journal Article;Research Support, Non-U.S. Gov't",1.0
10579464,1999,Life Sci,Chordata (rodent),Chordata (rodent),"A selective dopamine D4 receptor antagonist, NRA0160: a preclinical neuropharmacological profile.",Okuyama S; Kawashima N; Chaki S,10.1016/s0024-3205(99)00476-2,Q-vertebrate-rodent,3,3.3,boosted_by_title,Journal Article,1.0
8996184,1997,J Pharmacol Exp Ther,Chordata (rodent),Chordata (rodent),Psychopharmacological profile of amisulpride: an antipsychotic drug with presynaptic D2/D3 dopamine receptor antagonist activity and limbic selectivity.,Perrault G; Depoortere R; Morel E,,Q-vertebrate-rodent,3,2.97,boosted_by_title,Journal Article,0.9
38580186,2024,Pharmacol Res,Cnidaria,Cnidaria,"A new invertebrate NPY-like polypeptide, ZoaNPY, from the Zoanthus sociatus, as a novel ligand of human NPY Y2 receptor rescues vascular insufficiency via PLC/PKC and Src- FAK-dependent signaling pathways.",Chen Q; Xu N; Zhao C,10.1016/j.phrs.2024.107173,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
38727714,2024,Elife,Cnidaria,Cnidaria,Large-scale deorphanization of Nematostella vectensis neuropeptide G protein-coupled receptors supports the independent expansion of bilaterian and cnidarian peptidergic systems.,Thiel D; Yañez Guerra LA; Kieswetter A,10.7554/eLife.90674,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
35554581,2022,Sleep,Cnidaria,Cnidaria,Neurotransmitters of sleep and wakefulness in flatworms.,Omond SET; Hale MW; Lesku JA,10.1093/sleep/zsac053,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
33017583,2021,Gen Comp Endocrinol,Cnidaria,Cnidaria,G protein-coupled receptor signal transduction and Ca(2+) signaling pathways of the allatotropin/orexin system in Hydra.,Alzugaray ME; Gavazzi MV; Ronderos JR,10.1016/j.ygcen.2020.113637,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, Non-U.S. Gov't",1.1
34373460,2021,Nat Commun,Cnidaria,Cnidaria,A genetically encoded tool for reconstituting synthetic modulatory neurotransmission and reconnect neural circuits in vivo.,Hawk JD; Wisdom EM; Sengupta T,10.1038/s41467-021-24690-9,Q-cnidarian,0,0.33,pending,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",1.1
