run_id	lnL_null	lnL_alt05	lnL_alt15	lnL_alt_best	LRT	p_full	p_half	p0	p1	p2a	p2b	bg_w0	bg_w1	bg_w2a	bg_w2b	fg_w0	fg_w1	fg_w2a	fg_w2b
TAS1R1_pc_v4__apodiformes_clade	-19261.974718	-19234.023611	-19234.023611	-19234.023611	55.90221400000155	7.616129948928574e-14	3.808064974464287e-14	0.69866	0.28574	0.01107	0.00453	0.11847	1.0	0.11847	1.0	0.11847	1.0	9.37833	9.37833
TAS1R1_pc_v4__apodiformes_mrca	-19266.497542	-19266.234997	-19266.497542	-19266.234997	0.5250900000028196	0.46867847215627345	0.23433923607813673	0.69442	0.29564	0.00697	0.00297	0.11825	1.0	0.11825	1.0	0.11825	1.0	9.77135	9.77135
TAS1R1_pc_v4__hummingbird_mrca	-19266.279629	-19266.181759	-19266.181759	-19266.181759	0.19574000000284286	0.6581815939343356	0.3290907969671678	0.69345	0.29327	0.00933	0.00395	0.11846	1.0	0.11846	1.0	0.11846	1.0	2.82856	2.82856
TAS1R1_pc_v4__hummingbirds_clade	-19259.063316	-19228.532322	-19228.532322	-19228.532322	61.06198800000129	5.551115123125783e-15	2.7755575615628914e-15	0.70088	0.2807	0.01315	0.00526	0.11858	1.0	0.11858	1.0	0.11858	1.0	9.54929	9.54929
TAS1R1_pc_v4__mouse_control	-19266.68303	-19266.68303	-19266.68303	-19266.68303	0.0	1.0	0.5	0.70047	0.29953	0.0	0.0	0.11916	1.0	0.11916	1.0	0.11916	1.0	1.0	1.0
