iso3,country,sigma_st,tau_env_internet,tau_env_gdp_doubling,gelfand_tightness,cantril,cantril_residual,suicide,internet_latest,tau_ratio_internet_gelfand,tau_ratio_gdp_gelfand,log_tau_ratio
NOR,Norway,0.2270,6.0000,50.6515,9.5000,7.4679,0.6096,10.8962,99.0000,0.6316,5.3317,-0.4595
MNG,Mongolia,0.2164,15.0000,25.9303,,5.3758,-0.0415,19.2408,85.1235,,,
MOZ,Mozambique,0.2056,,21.1156,,4.6932,0.9670,21.0377,20.5273,,,
RUS,Russian Federation,0.2047,9.0000,101.5986,,5.6775,-0.2866,22.0422,94.3650,,,
CHE,Switzerland,0.1980,5.0000,110.0439,,7.4816,0.6574,10.0303,97.3444,,,
SYC,Seychelles,0.1929,18.0000,31.3360,,,,6.6407,87.8180,,,
ITA,Italy,0.1676,17.0000,321.7042,6.8000,6.2383,-0.2878,4.6264,89.2207,2.5000,47.3094,0.9163
UKR,Ukraine,0.1575,11.0000,,1.6000,4.5557,-0.9987,18.1912,82.4749,6.8750,,1.9279
TZA,Tanzania,0.1499,,31.8074,,3.5055,-0.8654,7.6884,31.1621,,,
GNB,Guinea-Bissau,0.1445,,93.8911,,,,12.1469,29.7774,,,
CHL,Chile,0.1409,14.0000,23.7914,,6.3979,0.2999,8.4801,95.5902,,,
HUN,Hungary,0.1315,9.0000,39.3634,2.9000,5.7458,-0.3455,12.6550,93.7790,3.1034,13.5736,1.1325
THA,Thailand,0.0942,18.0000,25.0521,,6.0870,0.2838,12.1394,90.8672,,,
CUB,Cuba,0.0784,15.0000,,,,,9.8952,70.4770,,,
TUR,Turkiye,0.0762,16.0000,24.0022,9.2000,5.1479,-0.8622,3.1126,87.3079,1.7391,2.6089,0.5534
CAN,Canada,0.0708,5.0000,71.7011,,7.2059,0.6372,10.3115,94.3533,,,
BGR,Bulgaria,0.0505,17.0000,32.2090,,5.0099,-0.8846,6.5395,82.4390,,,
TUN,Tunisia,0.0479,16.0000,36.3059,,4.6130,-0.8617,2.3661,76.5000,,,
GEO,Georgia,0.0389,13.0000,75.2080,,4.6303,-0.9626,4.8173,83.7986,,,
ESP,Spain,0.0259,10.0000,77.4880,5.4000,6.4040,-0.0826,5.8186,95.7575,1.8519,14.3496,0.6162
POL,Poland,0.0181,11.0000,19.2081,6.0000,6.1060,-0.0584,11.6646,88.5850,1.8333,3.2014,0.6061
SWE,Sweden,0.0155,7.0000,53.1262,,7.3409,0.6941,12.0038,95.5293,,,
ISL,Iceland,-0.0107,8.0000,60.9692,6.4000,7.5174,0.8457,10.9829,98.2092,1.2500,9.5264,0.2231
GAB,Gabon,-0.0199,14.0000,,,4.7272,-0.6943,12.7342,68.7209,,,
AUT,Austria,-0.0220,10.0000,62.6801,6.8000,7.1665,0.5451,10.8346,94.9197,1.4706,9.2177,0.3857
SEN,Senegal,-0.0335,18.0000,65.3776,,4.7600,0.2386,11.8648,60.1178,,,
BEN,Benin,-0.0394,,51.0098,,4.4279,0.2939,12.0536,33.9838,,,
ALB,Albania,-0.0449,12.0000,19.1645,,4.8850,-0.8590,2.9905,85.8639,,,
CHN,China,-0.0500,15.0000,8.5059,7.9000,5.3526,-0.4194,7.0467,92.0000,1.8987,1.0767,0.6412
MDV,Maldives,-0.0552,15.0000,44.7116,,5.1978,-0.6708,2.4244,85.2400,,,
EGY,"Egypt, Arab Rep.",-0.0574,16.0000,32.0809,,4.3218,-1.0719,0.9707,74.6484,,,
AMR,,-0.0620,,,,,,9.0141,,,,
CIV,Cote d'Ivoire,-0.0676,,215.5356,,4.8173,0.3514,13.3655,41.4322,,,
KAZ,Kazakhstan,-0.0746,4.0000,32.3660,,5.9906,0.0759,18.9464,93.3917,,,
BFA,Burkina Faso,-0.0911,,27.1799,,4.4616,0.5112,15.8342,28.2527,,,
DEU,Germany,-0.0915,7.0000,58.8690,6.5000,7.0065,0.4164,8.5195,93.5000,1.0769,9.0568,0.0741
BIH,Bosnia and Herzegovina,-0.0956,12.0000,10.7356,,5.4685,-0.2202,7.1464,86.1009,,,
KEN,Kenya,-0.1063,,108.7897,,4.5060,0.0157,10.1406,34.9762,,,
FIN,Finland,-0.1065,7.0000,58.3417,,7.6948,1.1347,13.0998,93.7241,,,
SRB,Serbia,-0.1067,10.0000,21.0909,,5.7189,-0.0442,10.1872,87.6907,,,
SMR,San Marino,-0.1127,18.0000,,,,,,97.3522,,,
MAR,Morocco,-0.1185,13.0000,34.6341,,5.1030,,3.3101,91.2000,,,
GRL,Greenland,-0.1238,10.0000,35.4777,,,,,69.4825,,,
ARM,Armenia,-0.1377,11.0000,23.1786,,4.7896,-0.7700,2.7558,81.3393,,,
MDG,Madagascar,-0.1399,,,,3.9722,0.1012,10.0822,18.6779,,,
ETH,Ethiopia,-0.1401,,19.6700,,4.2996,0.1460,10.1771,21.9413,,,
CMR,Cameroon,-0.1512,,392.3927,,4.9344,0.5228,13.8344,46.2588,,,
PRK,"Korea, Dem. People's Rep.",-0.1541,,,,,,8.4357,0.0000,,,
DOM,Dominican Republic,-0.1673,14.0000,21.1955,,5.4565,-0.2130,5.9078,91.0022,,,
SVK,Slovak Republic,-0.1682,8.0000,28.6543,,6.2523,0.1116,7.5942,89.8251,,,
UGA,Uganda,-0.1708,,22.8994,,4.2841,0.0512,10.2323,8.9498,,,
IRN,"Iran, Islamic Rep.",-0.1725,14.0000,44.6624,,4.7397,-0.8785,4.1713,85.3404,,,
GHA,Ghana,-0.1880,11.0000,24.9397,,4.7203,0.0531,8.3573,72.1757,,,
TCD,Chad,-0.1887,,54.1247,,4.2220,0.4727,10.9022,12.6269,,,
SLV,El Salvador,-0.1890,16.0000,42.9999,,6.1428,0.9395,8.8089,66.4777,,,
LUX,Luxembourg,-0.2065,8.0000,44.5750,,7.1159,0.0330,7.8641,98.7606,,,
MKD,North Macedonia,-0.2097,11.0000,42.8233,,5.1836,-0.5844,4.0260,93.6000,,,
VEN,"Venezuela, RB",-0.2101,13.0000,,3.7000,5.1160,,8.0843,76.6789,3.5135,,1.2566
ARG,Argentina,-0.2188,14.0000,61.2902,,6.2022,0.2623,8.4705,89.6672,,,
GTM,Guatemala,-0.2194,20.0000,54.8327,,6.3552,,5.9652,60.2214,,,
PRY,Paraguay,-0.2303,12.0000,50.8834,,5.6395,0.1592,6.8024,81.5781,,,
MMR,Myanmar,-0.2411,,10.2236,,4.3885,-0.3067,3.0873,45.4477,,,
BLR,Belarus,-0.2551,13.0000,26.9339,,5.5817,-0.2577,14.7790,94.2618,,,
SDN,Sudan,-0.2703,,64.1991,,4.1390,,4.1555,18.6000,,,
ARE,United Arab Emirates,-0.2717,9.0000,,,6.6648,-0.0420,2.0129,100.0000,,,
WPR,,-0.2738,,,,,,7.6847,,,,
LBR,Liberia,-0.2740,,,,4.1215,0.3408,9.6187,32.2336,,,
ZMB,Zambia,-0.2805,,61.9946,,4.1709,-0.1113,11.3344,17.1010,,,
ISR,Israel,-0.2805,11.0000,39.4547,3.1000,7.2415,0.7897,4.8470,88.1824,3.5484,12.7273,1.2665
TKM,Turkmenistan,-0.2851,,30.1645,,5.4317,,7.6140,17.9903,,,
ECU,Ecuador,-0.2981,15.0000,66.6189,,5.8458,0.3162,8.3213,77.1727,,,
COD,"Congo, Dem. Rep.",-0.2982,,,,4.1222,0.4583,15.1763,19.6735,,,
MLI,Mali,-0.3016,,53.1155,,4.4037,0.3778,8.2848,36.8015,,,
MLT,Malta,-0.3088,12.0000,20.4283,,6.5612,0.0208,5.1204,93.8603,,,
JOR,Jordan,-0.3140,15.0000,120.2482,,4.7508,,0.8335,95.6224,,,
NPL,Nepal,-0.3260,,23.3100,,5.0864,0.4576,11.5625,46.3219,,,
DNK,Denmark,-0.3342,6.0000,58.9436,,7.5863,0.9439,8.0918,99.7692,,,
MRT,Mauritania,-0.3355,,268.9887,,4.3522,-0.4103,4.8736,45.7794,,,
ROU,Romania,-0.3581,15.0000,26.9630,,6.0872,0.0510,7.7721,91.2905,,,
IRL,Ireland,-0.3619,9.0000,16.7915,,7.0016,0.1019,8.1850,97.1877,,,
MYS,Malaysia,-0.3674,13.0000,23.4135,11.8000,5.7802,-0.1916,5.2062,98.0206,1.1017,1.9842,0.0968
JAM,Jamaica,-0.3680,16.0000,192.6107,,5.7941,0.5663,1.6442,90.1087,,,
CRI,Costa Rica,-0.3683,16.0000,29.4133,,6.9733,1.0017,6.4597,87.1702,,,
COL,Colombia,-0.3758,14.0000,45.0653,,6.1012,0.4410,4.5438,79.3454,,,
NLD,Netherlands,-0.3777,7.0000,50.9561,3.3000,7.4220,0.7601,9.1349,97.0068,2.1212,15.4412,0.7520
